명칭,주소,결과,지번,x,y,Copyright,Source
신림역점,서울 관악구 신림로 318 청암두산위브센티움 1층 101호,정좌표,생략,126.930357,37.4825443,biz-gis.com,biz-gis.com
서울대입구역점,서울 관악구 남부순환로 1796 삼호빌딩 1층,정좌표,,126.9495956,37.4813203,biz-gis.com,biz-gis.com
낙성대점,서울 관악구 남부순환로 1934 1층,정좌표,,126.9637483,37.4766427,biz-gis.com,biz-gis.com
금천독산FS점,서울금천구시흥대로388,정좌표,,126.8983669,37.468131,biz-gis.com,biz-gis.com
관악롯데점,서울관악구보라매로3길31지하2층,정좌표,,126.9250051,37.4906953,biz-gis.com,biz-gis.com
신대방삼거리역점,서울 동작구 상도로 83,정좌표,,126.9298831,37.4999122,biz-gis.com,biz-gis.com
구로점,서울 구로구 시흥대로 551,정좌표,,126.9004062,37.4824856,biz-gis.com,biz-gis.com
사당역점,서울동작구동작대로21양지빌딩1,정좌표,,126.9813606,37.4784808,biz-gis.com,biz-gis.com
구로디지털점,서울 구로구 디지털로 288 대륭포스트타워 1층 ,정좌표,,126.8955044,37.4836563,biz-gis.com,biz-gis.com
가산현대시티아울렛점,서울금천구디지털로10길9 6층 ,정좌표,,126.8891362,37.4777128,biz-gis.com,biz-gis.com
